Question,Answer
Flush DNS Cache,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Flush DNS Cache. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemd-resolve --flush-caches)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Flush DNS Cache' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sneha Bose"", ""Email"": ""sneha.bose@example.com"", ""Phone"": ""+91-9000000011""}, ""Escalation"": {""Name"": ""Sneha Johnson"", ""Email"": ""sneha.johnson@example.com"", ""Phone"": ""+91-9100000011""}}}"
Update System Packages,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update System Packages. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo apt-get update && sudo apt-get upgrade -y)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update System Packages' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Arjun Brown"", ""Email"": ""arjun.brown@example.com"", ""Phone"": ""+91-9000000012""}, ""Escalation"": {""Name"": ""Michael Verma"", ""Email"": ""michael.verma@example.com"", ""Phone"": ""+91-9100000012""}}}"
Apply OS Security Patch,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Apply OS Security Patch. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo yum update --security -y)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Apply OS Security Patch' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Emma Sharma"", ""Email"": ""emma.sharma@example.com"", ""Phone"": ""+91-9000000013""}, ""Escalation"": {""Name"": ""Sanjana D'Souza"", ""Email"": ""sanjana.dsouza@example.com"", ""Phone"": ""+91-9100000013""}}}"
Restart Message Queue Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Message Queue Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart mq.service)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Message Queue Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Michael Desai"", ""Email"": ""michael.desai@example.com"", ""Phone"": ""+91-9000000014""}, ""Escalation"": {""Name"": ""Vikram Martinez"", ""Email"": ""vikram.martinez@example.com"", ""Phone"": ""+91-9100000014""}}}"
Restart Redis,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Redis. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart redis)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Redis' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Dev Brown"", ""Email"": ""dev.brown@example.com"", ""Phone"": ""+91-9000000015""}, ""Escalation"": {""Name"": ""Dev Patel"", ""Email"": ""dev.patel@example.com"", ""Phone"": ""+91-9100000015""}}}"
Restart RabbitMQ,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart RabbitMQ. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart rabbitmq-server)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart RabbitMQ' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sophia Kumar"", ""Email"": ""sophia.kumar@example.com"", ""Phone"": ""+91-9000000016""}, ""Escalation"": {""Name"": ""Olivia Fernandes"", ""Email"": ""olivia.fernandes@example.com"", ""Phone"": ""+91-9100000016""}}}"
Failover to Secondary Database,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Failover to Secondary Database. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., dbctl failover --to secondary)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Failover to Secondary Database' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Isha Mehta"", ""Email"": ""isha.mehta@example.com"", ""Phone"": ""+91-9000000017""}, ""Escalation"": {""Name"": ""Abhay Martinez"", ""Email"": ""abhay.martinez@example.com"", ""Phone"": ""+91-9100000017""}}}"
Switch Traffic to Blue Deployment,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Switch Traffic to Blue Deployment. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., lbctl switch --target blue)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Switch Traffic to Blue Deployment' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Isha Kumar"", ""Email"": ""isha.kumar@example.com"", ""Phone"": ""+91-9000000018""}, ""Escalation"": {""Name"": ""Sara Kapoor"", ""Email"": ""sara.kapoor@example.com"", ""Phone"": ""+91-9100000018""}}}"
Switch Traffic to Green Deployment,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Switch Traffic to Green Deployment. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., lbctl switch --target green)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Switch Traffic to Green Deployment' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Olivia Bose"", ""Email"": ""olivia.bose@example.com"", ""Phone"": ""+91-9000000019""}, ""Escalation"": {""Name"": ""Anil Fernandes"", ""Email"": ""anil.fernandes@example.com"", ""Phone"": ""+91-9100000019""}}}"
Enable Maintenance Mode,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Enable Maintenance Mode. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., appctl maintenance enable)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Enable Maintenance Mode' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Noah Iyer"", ""Email"": ""noah.iyer@example.com"", ""Phone"": ""+91-9000000020""}, ""Escalation"": {""Name"": ""Liam Sharma"", ""Email"": ""liam.sharma@example.com"", ""Phone"": ""+91-9100000020""}}}"
Disable Maintenance Mode,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Disable Maintenance Mode. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., appctl maintenance disable)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Disable Maintenance Mode' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Abhay Iyer"", ""Email"": ""abhay.iyer@example.com"", ""Phone"": ""+91-9000000021""}, ""Escalation"": {""Name"": ""Emma Das"", ""Email"": ""emma.das@example.com"", ""Phone"": ""+91-9100000021""}}}"
Rebuild Database Indexes,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rebuild Database Indexes. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., psql -c 'REINDEX DATABASE appdb;')."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rebuild Database Indexes' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vikram Bose"", ""Email"": ""vikram.bose@example.com"", ""Phone"": ""+91-9000000022""}, ""Escalation"": {""Name"": ""Michael Mehta"", ""Email"": ""michael.mehta@example.com"", ""Phone"": ""+91-9100000022""}}}"
Invalidate CDN Cache,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Invalidate CDN Cache. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cdnctl purge --zone app --all)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Invalidate CDN Cache' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Anil Kapoor"", ""Email"": ""anil.kapoor@example.com"", ""Phone"": ""+91-9000000023""}, ""Escalation"": {""Name"": ""Sara Verma"", ""Email"": ""sara.verma@example.com"", ""Phone"": ""+91-9100000023""}}}"
Restart Windows Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Windows Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sc.exe stop AppSvc && sc.exe start AppSvc)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Windows Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Neha Reddy"", ""Email"": ""neha.reddy@example.com"", ""Phone"": ""+91-9000000024""}, ""Escalation"": {""Name"": ""Aarav Brown"", ""Email"": ""aarav.brown@example.com"", ""Phone"": ""+91-9100000024""}}}"
Restart Linux Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Linux Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart app.service)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Linux Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Arjun Brown"", ""Email"": ""arjun.brown@example.com"", ""Phone"": ""+91-9000000025""}, ""Escalation"": {""Name"": ""Nisha Sharma"", ""Email"": ""nisha.sharma@example.com"", ""Phone"": ""+91-9100000025""}}}"
Rotate Secrets,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rotate Secrets. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., vault rotate-secrets --path /prod/app)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rotate Secrets' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sneha Iyer"", ""Email"": ""sneha.iyer@example.com"", ""Phone"": ""+91-9000000026""}, ""Escalation"": {""Name"": ""Kabir Martinez"", ""Email"": ""kabir.martinez@example.com"", ""Phone"": ""+91-9100000026""}}}"
